"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built","source"
"164","pak","C:/Users/pottj/R/packages","0.5.0",NA,"R (>= 3.2)","tools, utils",NA,"callr (>= 3.7.0), cli (>= 3.2.0), covr, curl (>= 4.3.2), desc
(>= 1.4.1), digest, distro, filelock (>= 1.0.2), gitcreds, glue
(>= 1.6.2), mockery, pingr, jsonlite (>= 1.8.0), pkgcache (>=
2.0.4), pkgdepends (>= 0.4.0), pkgsearch (>= 3.1.0),
prettyunits, processx (>= 3.8.1), ps (>= 1.6.0), rprojroot (>=
2.0.2), rstudioapi, testthat, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"165","paletteer","C:/Users/pottj/R/packages","1.5.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, ggplot2 (>= 3.3.0), ggthemes (>= 4.0.0), harrypotter
(>= 2.1.0), knitr, oompaBase, palr, pals, rmarkdown, scico,
testthat (>= 2.1.0), vdiffr, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"166","parallelly","C:/Users/pottj/R/packages","1.35.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3","CRAN"
"167","parameters","C:/Users/pottj/R/packages","0.21.0",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), datawizard (>= 0.7.0), insight (>=
0.19.1), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor, BayesFM, bbmle, betareg, BH,
biglm, blme, boot, brglm2, brms, broom, cAIC4, car, carData,
cgam, ClassDiscovery, clubSandwich, cluster, coda, cplm,
dbscan, domir (>= 0.2.0), drc, DRR, effectsize (>= 0.8.2),
EGAnet (>= 0.7), emmeans (>= 1.7.0), estimatr, factoextra,
FactoMineR, fastICA, fixest, fpc, gam, gamlss, gee, geepack,
ggeffects (>= 1.2.0), ggplot2, GLMMadaptive, glmmTMB,
GPArotation, gt, haven, httr, Hmisc, ivprobit, ivreg, knitr,
lavaan, lfe, lm.beta, lme4, lmerTest, lmtest, logspline, lqmm,
M3C, marginaleffects (>= 0.10.0), MASS, Matrix, mclogit,
mclust, MCMCglmm, mediation, merDeriv, metaBMA, metafor, mfx,
mgcv, mice, mmrm, multcomp, MuMIn, NbClust, nFactors, nlme,
nnet, openxlsx, ordinal, panelr, pbkrtest, PCDimension,
performance (>= 0.10.1), plm, PMCMRplus, poorman, posterior,
PROreg, pscl, psych, pvclust, quantreg, randomForest,
rmarkdown, rms, rstanarm, sandwich, see (>= 0.7.5), sparsepca,
survey, survival, testthat, tidyselect, TMB, truncreg, VGAM,
withr, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"168","parsedate","C:/Users/pottj/R/packages","1.3.1",NA,NA,NA,NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"169","parsnip","C:/Users/pottj/R/packages","1.1.0",NA,"R (>= 3.5)","cli, dplyr (>= 1.1.0), generics (>= 0.1.2), ggplot2, globals,
glue, hardhat (>= 1.1.0), lifecycle, magrittr, pillar,
prettyunits, purrr (>= 1.0.0), rlang (>= 0.3.1), stats, tibble
(>= 2.1.1), tidyr (>= 1.3.0), utils, vctrs (>= 0.6.0), withr",NA,"C50, covr, dials (>= 1.1.0), earth, ggrepel, keras, kernlab,
kknn, knitr, LiblineaR, MASS, Matrix, mgcv, modeldata, nlme,
prodlim, ranger (>= 0.12.0), remotes, rmarkdown, rpart,
sparklyr (>= 1.0.0), survival, tensorflow, testthat (>= 3.0.0),
xgboost (>= 1.5.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"170","patchwork","C:/Users/pottj/R/packages","1.1.2",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1","CRAN"
"171","performance","C:/Users/pottj/R/packages","0.10.3",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), insight (>= 0.19.1), datawizard (>=
0.7.0), methods, stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, CompQuadForm, correlation, cplm,
dbscan, estimatr, fixest, forecast, gamm4, ggplot2, glmmTMB,
graphics, Hmisc, httr, ICS, ICSOutlier, ISLR, ivreg, lavaan,
lme4, lmtest, loo, MASS, Matrix, mclogit, mclust, metadat,
metafor, mgcv, mlogit, multimode, nlme, nonnest2, ordinal,
parallel, parameters (>= 0.20.3), patchwork, pscl, psych,
randomForest, rmarkdown, rstanarm, rstantools, sandwich, see
(>= 0.7.5), survey, survival, testthat, tweedie, VGAM, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"172","pillar","C:/Users/pottj/R/packages","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"173","pkgbuild","C:/Users/pottj/R/packages","1.4.0",NA,"R (>= 3.4)","callr (>= 3.2.0), cli (>= 3.4.0), crayon, desc, prettyunits,
processx, R6, rprojroot, withr (>= 2.3.0)",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"174","pkgconfig","C:/Users/pottj/R/packages","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"175","pkgdown","C:/Users/pottj/R/packages","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"176","pkgload","C:/Users/pottj/R/packages","1.3.2",NA,"R (>= 3.4.0)","cli (>= 3.3.0), crayon, desc, fs, glue, methods, rlang (>=
1.0.3), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, covr, mathjaxr, mockr, pak, pkgbuild, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"177","plyr","C:/Users/pottj/R/packages","1.8.8",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"178","png","C:/Users/pottj/R/packages","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2","CRAN"
"179","pool","C:/Users/pottj/R/packages","1.0.1",NA,"methods, R (>= 3.0.0)","DBI, later (>= 1.0.0), R6, rlang (>= 1.0.0), withr",NA,"covr, dbplyr (>= 2.0.0), dplyr, knitr, rmarkdown, RMySQL,
RSQLite, shiny, testthat (>= 3.0.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"180","praise","C:/Users/pottj/R/packages","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"181","prettyunits","C:/Users/pottj/R/packages","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"182","prismatic","C:/Users/pottj/R/packages","1.1.1",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, crayon, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"183","pROC","C:/Users/pottj/R/packages","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.1","CRAN"
"184","processx","C:/Users/pottj/R/packages","3.8.1",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"185","prodlim","C:/Users/pottj/R/packages","2023.03.31",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"186","profvis","C:/Users/pottj/R/packages","0.3.7",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"187","progress","C:/Users/pottj/R/packages","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"188","progressr","C:/Users/pottj/R/packages","0.13.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3","CRAN"
"189","promises","C:/Users/pottj/R/packages","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1","CRAN"
"190","ps","C:/Users/pottj/R/packages","1.7.5",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"191","purrr","C:/Users/pottj/R/packages","1.0.1",NA,"R (>= 3.4.0)","cli (>= 3.4.0), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 0.4.10), vctrs (>= 0.5.0)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"192","R.cache","C:/Users/pottj/R/packages","0.16.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.8.1), R.oo (>= 1.24.0), R.utils (>=
2.10.1), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3","CRAN"
"193","R.methodsS3","C:/Users/pottj/R/packages","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.3","CRAN"
"194","R.oo","C:/Users/pottj/R/packages","1.25.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.3","CRAN"
"195","R.utils","C:/Users/pottj/R/packages","2.12.2",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3","CRAN"
"196","r2d3","C:/Users/pottj/R/packages","0.2.6",NA,"R (>= 3.1.2)","htmlwidgets (>= 1.2), htmltools, jsonlite, rstudioapi",NA,"knitr, rmarkdown, R6, shiny, shinytest, testthat, webshot",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.2.1","CRAN"
"197","R6","C:/Users/pottj/R/packages","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"198","ragg","C:/Users/pottj/R/packages","1.2.5",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"199","rappdirs","C:/Users/pottj/R/packages","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1","CRAN"
"200","rcmdcheck","C:/Users/pottj/R/packages","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"201","RColorBrewer","C:/Users/pottj/R/packages","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.3","CRAN"
"202","Rcpp","C:/Users/pottj/R/packages","1.0.10",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"203","RcppEigen","C:/Users/pottj/R/packages","0.3.3.9.3",NA,"R (>= 3.6.0)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"204","RcppTOML","C:/Users/pottj/R/packages","0.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"205","RDCOMClient","C:/Users/pottj/R/packages","0.94-0",NA,NA,NA,NA,NA,NA,"GPL2",NA,NA,NA,NA,"yes","4.1.2","https://github.com/omegahat/RDCOMClient"
"206","Rdiagnosislist","C:/Users/pottj/R/packages","1.2",NA,"R (>= 3.5.0)","data.table, bit64, methods",NA,"knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"207","reactable","C:/Users/pottj/R/packages","0.4.4",NA,"R (>= 3.1)","digest, htmltools (>= 0.5.2), htmlwidgets (>= 1.5.3),
jsonlite, reactR",NA,"covr, crosstalk, dplyr, fontawesome, knitr, leaflet, MASS,
rmarkdown, shiny, sparkline, testthat, tippy, V8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"208","reactR","C:/Users/pottj/R/packages","0.4.4",NA,NA,"htmltools",NA,"htmlwidgets (>= 1.5.3), rmarkdown, shiny, V8, knitr, usethis,
jsonlite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"209","readr","C:/Users/pottj/R/packages","2.1.4",NA,"R (>= 3.5)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.1.2), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"210","readxl","C:/Users/pottj/R/packages","1.4.2",NA,"R (>= 3.5)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","covr, knitr, rmarkdown, testthat (>= 3.1.6), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"211","recipes","C:/Users/pottj/R/packages","1.0.6",NA,"dplyr (>= 1.1.0), R (>= 3.4)","cli, clock (>= 0.6.1), ellipsis, generics (>= 0.1.2), glue,
gower, hardhat (>= 1.3.0), ipred (>= 0.9-12), lifecycle (>=
1.0.3), lubridate (>= 1.8.0), magrittr, Matrix, purrr (>=
1.0.0), rlang (>= 1.0.3), stats, tibble, tidyr (>= 1.0.0),
tidyselect (>= 1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr",NA,"covr, ddalpha, dials (>= 1.2.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 0.1.7), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"212","redcapAPI","C:/Users/pottj/R/packages","2.5.0",NA,"R (>= 3.0.0)","checkmate, chron, httr, labelVector, lubridate",NA,"testthat (>= 3.0.0), getPass, keyring, Hmisc",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"213","rematch","C:/Users/pottj/R/packages","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"214","rematch2","C:/Users/pottj/R/packages","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"215","remotes","C:/Users/pottj/R/packages","2.4.2",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2","CRAN"
"216","renv","C:/Users/pottj/R/packages","0.17.3",NA,NA,"utils",NA,"BiocManager, cli, covr, devtools, jsonlite, knitr, miniUI,
packrat, pak, R6, remotes, reticulate, rmarkdown, rstudioapi,
shiny, testthat, uuid, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"217","report","C:/Users/pottj/R/packages","0.5.7",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), effectsize (> 0.8.2), insight (>=
0.19.1), parameters (>= 0.20.0), performance (>= 0.9.2),
datawizard (>= 0.6.5), stats, tools, utils",NA,"brms, ivreg, knitr, lavaan, lme4, dplyr, rmarkdown, rstanarm,
survival, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"218","reportROC","C:/Users/pottj/R/packages","3.6",NA,NA,"pROC, vcd, methods",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1","CRAN"
"219","reprex","C:/Users/pottj/R/packages","2.0.2",NA,"R (>= 3.4)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"220","reticulate","C:/Users/pottj/R/packages","1.28",NA,"R (>= 3.0)","Matrix, Rcpp (>= 0.12.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, withr","Rcpp","callr, knitr, rlang, rmarkdown, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"221","rex","C:/Users/pottj/R/packages","1.2.1",NA,NA,"lazyeval",NA,"covr, dplyr, ggplot2, Hmisc, knitr, magrittr, rmarkdown,
roxygen2, rvest, stringr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0","CRAN"
"222","rhub","C:/Users/pottj/R/packages","1.1.2",NA,NA,"assertthat, callr, cli (>= 1.1.0), crayon, desc, digest, httr,
jsonlite, parsedate, pillar, prettyunits, processx, R6,
rappdirs, rcmdcheck (>= 1.2.1), rematch, tibble, utils, uuid,
whoami, withr",NA,"covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"223","rJava","C:/Users/pottj/R/packages","1.0-6",NA,"R (>= 3.6.0), methods",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.2.0","CRAN"
"224","rlang","C:/Users/pottj/R/packages","1.1.0",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"225","rmarkdown","C:/Users/pottj/R/packages","2.21",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>=
0.5.0), htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>=
1.22), methods, stringr (>= 1.2.0), tinytex (>= 0.31), tools,
utils, xfun (>= 0.36), yaml (>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"226","RODBC","C:/Users/pottj/R/packages","1.3-20",NA,"R (>= 4.0.0)","stats",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2","CRAN"
"227","roxygen2","C:/Users/pottj/R/packages","7.2.3",NA,"R (>= 3.3)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"228","rprojroot","C:/Users/pottj/R/packages","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3","CRAN"
"229","rsample","C:/Users/pottj/R/packages","1.1.1",NA,"R (>= 3.4)","dplyr (>= 1.0.0), furrr, generics, glue, methods, pillar,
purrr, rlang (>= 0.4.10), slider (>= 0.1.5), tibble, tidyr,
tidyselect, vctrs (>= 0.5.0)",NA,"broom, covr, ggplot2, knitr, modeldata, recipes (>= 0.1.4),
rmarkdown, stats, testthat (>= 3.0.0), utils, whisker, withr,
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"230","Rserve","C:/Users/pottj/R/packages","1.8-11",NA,"R (>= 1.5.0)",NA,NA,"RSclient",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","4.2.2","CRAN"
"231","rstudioapi","C:/Users/pottj/R/packages","0.14",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1","CRAN"
"232","Rttf2pt1","C:/Users/pottj/R/packages","1.3.12",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.2.2","CRAN"
"233","rversions","C:/Users/pottj/R/packages","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"234","rvest","C:/Users/pottj/R/packages","1.0.3",NA,"R (>= 3.2)","glue, cli, httr (>= 0.5), lifecycle (>= 1.0.0), magrittr,
rlang (>= 1.0.0), selectr, tibble, xml2 (>= 1.3), withr",NA,"covr, knitr, readr, repurrrsive, rmarkdown, spelling, stringi
(>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"235","sass","C:/Users/pottj/R/packages","0.4.5",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3","CRAN"
"236","scales","C:/Users/pottj/R/packages","1.2.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"237","see","C:/Users/pottj/R/packages","0.7.5",NA,"graphics, grDevices, R (>= 3.6), stats","bayestestR (>= 0.13.0), correlation (>= 0.8.3), datawizard (>=
0.7.0), effectsize (>= 0.8.3), ggplot2 (>= 3.4.1), insight (>=
0.19.1), modelbased (>= 0.8.5), parameters (>= 0.20.2),
performance (>= 0.10.1)",NA,"brms, curl, emmeans, factoextra, ggdist, ggraph, ggrepel,
ggridges, ggside, glmmTMB, grid, httr, lavaan, lme4, logspline,
MASS, mclust, mgcv, metafor, NbClust, nFactors, patchwork,
poorman, psych, qqplotr, randomForest, rlang, rmarkdown,
rstanarm, scales (>= 1.2.1), splines, testthat (>= 3.1.7),
tidygraph, vdiffr (>= 1.0.5)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"238","selectr","C:/Users/pottj/R/packages","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.1.1","CRAN"
"239","servr","C:/Users/pottj/R/packages","0.26",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.2.3","CRAN"
"240","sessioninfo","C:/Users/pottj/R/packages","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2","CRAN"
"241","shape","C:/Users/pottj/R/packages","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0","CRAN"
